,FINAL,PRE-CLEARIN,G PRICES AS,OF 02/18,/16 06:00,PM (CST),,,,,
1970,6.75,7.50B,2.75A,3.30B,3.3,-2.45,540,5.75,593,,1723
1975,5.25,6.25B,2.15A,2.55B,2.6,-2.15,290,4.75,452,,1174
1980,4.2,5.00B,1.70A,2.00B,2.05,-1.8,85,3.85,1268,,2351
1985,3.5,4.00B,1.30A,1.55B,1.6,-1.5,599,3.1,264,,748
1990,1.85,3.20B,1.05A,1.25,1.3,-1.15,2500,2.45,437,,697
1995,----,2.50B,.80A,.90B,1,-0.95,1,1.95,521,,758
2000,1.7,2,0.55,.70B,0.8,-0.7,964,1.5,1022,,2524
2005,1.15,1.45,0.4,.55B,0.65,-0.55,234,1.2,528,,2226
2010,0.35,1.10B,0.35,.40B,0.55,-0.4,88,0.95,198,,1434
2015,0.3,.85B,0.3,0.3,0.45,-0.3,87,0.75,,,872
2020,----,.65B,.30A,.30A,0.4,-0.2,,0.6,,,1931
2025,0.4,.50B,.25A,.25A,0.35,-0.15,45,0.5,12,,4956
2030,0.2,0.2,0.2,0.2,0.3,-0.1,1,0.4,26,,1345
2035,0.2,0.2,0.2,0.2,0.25,-0.1,220,0.35,1821,,2560
2040,----,----,.20A,.20A,0.2,-0.1,,0.3,1007,,2496
2045,0.15,0.15,0.15,0.15,0.2,-0.1,60,0.3,125,,944
2050,----,----,.15A,.15A,0.15,-0.1,,0.25,818,,1621
2055,----,----,.15A,.15A,0.15,-0.1,20,0.25,,,956
2060,----,----,.15A,.15A,0.1,-0.1,,0.2,,,729
2065,----,----,.15A,.15A,0.1,-0.1,,0.2,,,1250
2070,0.05,0.05,0.05,0.05,0.05,-0.15,5,0.2,,,723
2075,----,----,.10A,.10A,0.05,-0.1,6,0.15,,,811
2080,0.05,0.05,0.05,0.05,0.05,-0.1,2,0.15,805,,2006
2085,----,----,.10A,.10A,CAB,-0.15,,0.15,,,136
2090,----,----,----,----,CAB,-0.1,,0.1,1,,92
2095,----,----,----,----,CAB,-0.1,,0.1,,,1073
2100,----,----,----,----,CAB,-0.1,,0.1,,,525
2105,----,----,----,----,CAB,-0.1,,0.1,,,169
2110,----,----,----,----,CAB,-0.05,,0.05,1,,509
2115,----,----,----,----,CAB,-0.05,,0.05,,,309
2120,----,----,----,----,CAB,-0.05,,0.05,,,432
2125,----,----,----,----,CAB,-0.05,,0.05,,,93
2130,----,----,----,----,CAB,UNCH,,CAB,,,72
2135,----,----,----,----,CAB,UNCH,,CAB,,,37
2140,----,----,----,----,CAB,UNCH,,CAB,1,,69
2145,----,----,----,----,CAB,UNCH,,CAB,,,589
2150,0.05,0.05,0.05,0.05,CAB,UNCH,1,CAB,8,,146
2155,----,----,----,----,CAB,UNCH,,CAB,,,73
2160,----,----,----,----,CAB,UNCH,,CAB,3,,11
2165,----,----,----,----,CAB,UNCH,,CAB,,,3
2170,----,----,----,----,CAB,UNCH,,CAB,,,5
2175,0.05,0.05,0.05,0.05,CAB,UNCH,1,CAB,18,,342
2180,----,----,----,----,CAB,UNCH,,CAB,,,5
2185,----,----,----,----,CAB,UNCH,,CAB,,,74
2190,----,----,----,----,CAB,UNCH,,CAB,,,31
2195,----,----,----,----,CAB,UNCH,,CAB,4,,22
2200,----,----,----,----,CAB,UNCH,,CAB,4,,445
2205,----,----,----,----,CAB,UNCH,,CAB,,,30
2210,----,----,----,----,CAB,UNCH,,CAB,,,699
2215,----,----,----,----,CAB,UNCH,,CAB,,,205
2220,----,----,----,----,CAB,UNCH,,CAB,1,,3234
2225,----,----,----,----,CAB,UNCH,,CAB,,,25
2230,----,----,----,----,CAB,UNCH,,CAB,1,,3037
2235,----,----,----,----,CAB,UNCH,,CAB,,,12
2240,----,----,----,----,CAB,UNCH,,CAB,1,,3234
2245,----,----,----,----,CAB,UNCH,,CAB,,,
2250,----,----,----,----,CAB,UNCH,,CAB,1,,2955
2255,----,----,----,----,CAB,UNCH,,CAB,,,15
2260,----,----,----,----,CAB,UNCH,,CAB,,,6
2265,----,----,----,----,CAB,UNCH,,CAB,,,
2270,----,----,----,----,CAB,UNCH,,CAB,,,1
2275,----,----,----,----,CAB,UNCH,,CAB,,,1
2280,----,----,----,----,CAB,UNCH,,CAB,,,
2285,----,----,----,----,CAB,UNCH,,CAB,,,10
2290,----,----,----,----,CAB,UNCH,,CAB,,,
2295,----,----,----,----,CAB,UNCH,,CAB,,,
2300,----,----,----,----,CAB,UNCH,,CAB,,,
2305,----,----,----,----,CAB,UNCH,,CAB,,,
2310,----,----,----,----,CAB,UNCH,,CAB,,,
2315,----,----,----,----,CAB,UNCH,,CAB,,,
2320,----,----,----,----,CAB,UNCH,,CAB,,,
2325,----,----,----,----,CAB,UNCH,,CAB,,,48
2330,----,----,----,----,CAB,UNCH,,CAB,,,1
2335,----,----,----,----,CAB,UNCH,,CAB,,,
2340,----,----,----,----,CAB,UNCH,,CAB,,,
2345,----,----,----,----,CAB,UNCH,,CAB,,,
2350,----,----,----,----,CAB,UNCH,,CAB,,,25
2355,----,----,----,----,CAB,UNCH,,CAB,,,
2360,----,----,----,----,CAB,UNCH,,CAB,,,
2365,----,----,----,----,CAB,UNCH,,CAB,,,
2370,----,----,----,----,CAB,UNCH,,CAB,,,
2375,----,----,----,----,CAB,UNCH,,CAB,,,11
2380,----,----,----,----,CAB,UNCH,,CAB,,,
2385,----,----,----,----,CAB,UNCH,,CAB,,,
2390,----,----,----,----,CAB,UNCH,,CAB,,,
2395,----,----,----,----,CAB,UNCH,,CAB,,,
2400,----,----,----,----,CAB,UNCH,,CAB,,,
2405,----,----,----,----,CAB,UNCH,,CAB,,,
2410,----,----,----,----,CAB,UNCH,,CAB,,,
2415,----,----,----,----,CAB,UNCH,,CAB,,,
2420,----,----,----,----,CAB,UNCH,,CAB,,,
2425,----,----,----,----,CAB,UNCH,,CAB,,,
2430,----,----,----,----,CAB,UNCH,,CAB,,,
2435,----,----,----,----,CAB,UNCH,,CAB,,,
2440,----,----,----,----,CAB,UNCH,,CAB,,,
2445,----,----,----,----,CAB,UNCH,,CAB,,,
2450,----,----,----,----,CAB,UNCH,,CAB,,,
2455,----,----,----,----,CAB,UNCH,,CAB,,,
2460,----,----,----,----,CAB,UNCH,,CAB,,,
2465,----,----,----,----,CAB,UNCH,,CAB,,,
2470,----,----,----,----,CAB,UNCH,,CAB,,,
2475,----,----,----,----,CAB,UNCH,,CAB,,,
2480,----,----,----,----,CAB,UNCH,,CAB,,,
2485,----,----,----,----,CAB,UNCH,,CAB,,,
2490,----,----,----,----,CAB,UNCH,,CAB,,,
2495,----,----,----,----,CAB,UNCH,,CAB,,,
2500,----,----,----,----,CAB,UNCH,,CAB,,,
2505,----,----,----,----,CAB,UNCH,,CAB,,,
2510,----,----,----,----,CAB,UNCH,,CAB,,,
2515,----,----,----,----,CAB,UNCH,,CAB,,,
2520,----,----,----,----,CAB,UNCH,,CAB,,,
2525,----,----,----,----,CAB,UNCH,,CAB,,,
2530,----,----,----,----,CAB,UNCH,,CAB,,,
2535,----,----,----,----,CAB,UNCH,,CAB,,,
2540,----,----,----,----,CAB,UNCH,,CAB,,,
2545,----,----,----,----,CAB,UNCH,,CAB,,,
2550,----,----,----,----,CAB,UNCH,,CAB,,,
2555,----,----,----,----,CAB,UNCH,,CAB,,,
2560,----,----,----,----,CAB,UNCH,,CAB,,,
2565,----,----,----,----,CAB,UNCH,,CAB,,,
2570,----,----,----,----,CAB,UNCH,,CAB,,,
2575,----,----,----,----,CAB,UNCH,,CAB,,,
2580,----,----,----,----,CAB,UNCH,,CAB,,,
2585,----,----,----,----,CAB,UNCH,,CAB,,,
2590,----,----,----,----,CAB,UNCH,,CAB,,,
2595,----,----,----,----,CAB,UNCH,,CAB,,,
2600,----,----,----,----,CAB,UNCH,,CAB,,,
2625,----,----,----,----,CAB,UNCH,,CAB,,,
2650,----,----,----,----,CAB,UNCH,,CAB,,,
2675,----,----,----,----,CAB,UNCH,,CAB,,,
2700,----,----,----,----,CAB,UNCH,,CAB,,,
2725,----,----,----,----,CAB,UNCH,,CAB,,,
2750,----,----,----,----,CAB,UNCH,,CAB,,,
2775,----,----,----,----,CAB,UNCH,,CAB,,,
2800,----,----,----,----,CAB,UNCH,,CAB,,,
2825,----,----,----,----,CAB,UNCH,,CAB,,,
2850,----,----,----,----,CAB,UNCH,,CAB,,,
2875,----,----,----,----,CAB,UNCH,,CAB,,,
2900,----,----,----,----,CAB,UNCH,,CAB,,,
2925,----,----,----,----,CAB,UNCH,,CAB,,,
2950,----,----,----,----,CAB,UNCH,,CAB,,,
2975,----,----,----,----,CAB,UNCH,,CAB,,,
3000,----,----,----,----,CAB,UNCH,,CAB,,,
3025,----,----,----,----,CAB,UNCH,,CAB,,,
3050,----,----,----,----,CAB,UNCH,,CAB,,,
3075,----,----,----,----,CAB,UNCH,,CAB,,,
3100,----,----,----,----,CAB,UNCH,,CAB,,,
3125,----,----,----,----,CAB,UNCH,,CAB,,,
3150,----,----,----,----,CAB,UNCH,,CAB,,,
500,----,----,----,----,1416.25,-6.25,,1422.5,,,
750,----,----,----,----,1166.5,-6,,1172.5,,,
800,----,----,----,----,1116.5,-6,,1122.5,,,
825,----,----,----,----,1091.5,-6,,1097.5,,,
850,----,----,----,----,1066.5,-6,,1072.5,,,
875,----,----,----,----,1041.5,-6,,1047.5,,,
900,----,----,----,----,1016.5,-6,,1022.5,,,
925,----,----,----,----,991.5,-6,,997.5,,,
950,----,----,----,----,966.5,-6,,972.5,,,
975,----,----,----,----,941.5,-6,,947.5,,,
EW MAR1,6 End of,Month (EOM,) Emini S&P,Options,CALL,,,,,,
1000,----,----,----,----,907.25,-6,,913.25,,,
1025,----,----,----,----,882.25,-6,,888.25,,,
1050,----,----,----,----,857.25,-6.25,,863.5,,,
1075,----,----,----,----,832.25,-6.25,,838.5,,,
1100,----,----,----,----,807.25,-6.25,,813.5,,,
1125,----,----,----,----,782.5,-6,,788.5,,,
1150,----,----,----,----,757.5,-6,,763.5,,,
1175,----,----,----,----,732.5,-6,,738.5,,,
1200,----,----,----,----,707.5,-6,,713.5,,,
1225,----,----,----,----,682.5,-6.25,,688.75,,,
1250,----,----,----,----,657.75,-6,,663.75,,,
1275,----,----,----,----,632.75,-6.25,,639,,,
1300,----,----,----,----,607.75,-6.25,,614,,,
1325,----,----,----,----,583,-6,,589,,,
1350,----,----,----,----,558,-6.25,,564.25,,,
1355,----,----,----,----,553,-6.25,,559.25,,,
1360,----,----,----,----,548,-6.25,,554.25,,,
1365,----,----,----,----,543,-6.25,,549.25,,,
1370,----,----,----,----,538,-6.25,,544.25,,,
1375,----,----,----,----,533,-6.25,,539.25,,,
1380,----,----,----,----,528,-6.25,,534.25,,,
1385,----,----,----,----,523,-6.25,,529.25,,,
1390,----,----,----,----,518,-6.5,,524.5,,,
1395,----,----,----,----,513.25,-6.25,,519.5,,,
1400,----,----,----,----,508.25,-6.25,,514.5,,,
1405,----,----,----,----,503.25,-6.25,,509.5,,,
1410,----,----,----,----,498.25,-6.25,,504.5,,,
1415,----,----,----,----,493.25,-6.25,,499.5,,,
1420,----,----,----,----,488.25,-6.25,,494.5,,,
1425,----,----,----,----,483.25,-6.25,,489.5,,,
1430,----,----,----,----,478.5,-6.25,,484.75,,,
1435,----,----,----,----,473.5,-6.25,,479.75,,,
1440,----,----,----,----,468.5,-6.25,,474.75,,,
1445,----,----,----,----,463.5,-6.25,,469.75,,,
1450,----,----,----,----,458.5,-6.25,,464.75,,,
1455,----,----,----,----,453.5,-6.5,,460,,,
1460,----,----,----,----,448.75,-6.25,,455,,,
1465,----,----,----,----,443.75,-6.25,,450,,,
1470,----,----,----,----,438.75,-6.25,,445,,,
1475,----,----,----,----,433.75,-6.25,,440,,,
1480,----,----,----,----,429,-6.25,,435.25,,,
1485,----,----,----,----,424,-6.25,,430.25,,,
1490,----,----,----,----,419,-6.25,,425.25,,,
1495,----,----,----,----,414,-6.5,,420.5,,,
1500,----,----,----,----,409,-6.5,,415.5,,,
1505,----,----,----,----,404,-6.5,,410.5,,,
1510,----,----,----,----,399.25,-6.25,,405.5,,,
1515,----,----,----,----,394.25,-6.25,,400.5,,,
1520,----,----,----,----,389.5,-6.25,,395.75,,,
1525,----,----,----,----,384.5,-6.25,,390.75,,,
1530,----,----,----,----,379.5,-6.5,,386,,,
1535,----,----,----,----,374.5,-6.5,,381,,,
1540,----,----,----,----,369.75,-6.25,,376,,,
1545,----,----,----,----,364.75,-6.5,,371.25,,,
1550,----,----,----,----,360,-6.25,,366.25,,,
1555,----,----,----,----,355,-6.5,,361.5,,,
1560,----,----,----,----,350,-6.5,,356.5,,,
1565,----,----,----,----,345.25,-6.5,,351.75,,,
1570,----,----,----,----,340.25,-6.5,,346.75,,,
1575,----,----,----,----,335.5,-6.5,,342,,,
1580,----,----,----,----,330.5,-6.5,,337,,,
1585,----,----,----,----,325.75,-6.5,,332.25,,,
1590,----,----,----,----,321,-6.5,,327.5,,,
1595,----,----,----,----,316,-6.5,,322.5,,,
1600,----,----,----,----,311.25,-6.5,,317.75,,,
1605,----,----,----,----,306.25,-6.5,,312.75,,,
1610,----,----,----,----,301.5,-6.5,,308,,,
1615,----,----,----,----,296.75,-6.5,,303.25,,,
1620,----,----,----,----,291.75,-6.75,,298.5,,,
1625,----,----,----,----,287,-6.5,,293.5,,,
1630,----,----,----,----,282.25,-6.5,,288.75,,,
1635,----,----,----,----,277.5,-6.5,,284,,,
1640,----,----,----,----,272.5,-6.75,,279.25,,,
1645,----,----,----,----,267.75,-6.75,,274.5,,,
1650,----,----,----,----,263,-6.5,,269.5,,,
1655,----,----,----,----,258.25,-6.5,,264.75,,,
1660,----,----,----,----,253.5,-6.5,,260,,,
1665,----,----,----,----,248.75,-6.75,,255.5,,,
1670,----,----,----,----,244,-6.75,,250.75,,,
1675,----,----,----,----,239.25,-6.75,,246,,,
1680,----,----,----,----,234.5,-6.75,,241.25,,,1
1685,----,----,----,----,230,-6.5,,236.5,,,
1690,----,----,----,----,225.25,-6.75,,232,,,
1695,----,----,----,----,220.5,-6.75,,227.25,,,
1700,----,----,----,----,216,-6.5,,222.5,,,10
1705,----,----,----,----,211.5,-6.5,,218,,,
1710,----,----,----,----,206.75,-6.75,,213.5,,,
1715,----,----,----,----,202.25,-6.5,,208.75,,,
1720,----,----,----,----,197.75,-6.5,,204.25,,,
1725,----,----,----,----,193,-6.75,,199.75,,,10
1730,----,----,----,----,188.5,-6.5,,195,,,5
1735,----,----,----,----,184,-6.5,,190.5,,,
1740,----,----,----,----,179.5,-6.5,,186,,,
1745,----,----,----,----,175,-6.5,,181.5,,,
1750,----,----,----,----,170.75,-6.5,,177.25,,,4
1755,----,----,163.75A,163.75A,166.25,-6.5,,172.75,,,
1760,----,----,158.25A,159.25B,162,-6.5,,168.5,,,
1765,----,165.75B,153.75A,157.50B,157.5,-6.5,,164,,,
1770,----,164.00B,149.50A,153.25B,153,-6.5,,159.5,,,
1775,----,162.25B,145.25A,149.00B,148.75,-6.5,,155.25,,,362
1780,----,158.50B,141.00A,144.75B,144.5,-6.5,,151,,,6
1785,----,154.00B,136.75A,140.50B,140.25,-6.5,,146.75,,,
1790,----,149.75B,132.50A,136.25B,136,-6.5,,142.5,,,29
1795,----,145.50B,128.50A,132.00B,131.75,-6.5,,138.25,,,29
1800,----,141.25B,124.25A,128.00B,127.5,-6.5,,134,,,56
1805,----,137.00B,120.25A,123.75B,123.5,-6.5,,130,,,15
1810,----,133.00B,116.25A,119.75B,119.5,-6.5,,126,,,24
1815,----,128.75B,112.25A,115.75B,115.25,-6.75,,122,,,44
1820,----,124.75B,108.25A,111.75B,111.25,-6.75,,118,,,81
1825,----,120.50B,104.25A,107.75B,107.25,-6.75,,114,,,632
1830,----,116.50B,100.50A,103.75B,103.5,-6.5,,110,,,29
1835,----,112.50B,96.50A,100.00B,99.5,-6.5,,106,,,51
1840,----,108.75B,92.75A,96.25B,95.75,-6.5,,102.25,,,249
1845,----,104.75B,89.00A,92.50B,92,-6.5,,98.5,,,94
1850,----,100.75B,85.50A,88.75B,88.5,-6.25,,94.75,,,216
1855,----,97.00B,81.75A,85.00B,84.75,-6.25,,91,5,,28
1860,----,93.25B,78.25A,81.50B,81,-6.5,,87.5,5,,109
1865,----,89.50B,74.75A,78.00B,77.5,-6.5,,84,5,,460
1870,----,86.00B,71.25A,74.50B,74,-6.5,,80.5,,,158
1875,----,82.25B,68.00A,71.00B,70.75,-6.25,,77,,,42
1880,----,78.75B,64.50A,67.50B,67.25,-6.25,1,73.5,,,280
1885,----,75.25B,61.25A,64.25B,64,-6,,70,,,72
1890,64.5,71.75B,58.25A,61.00B,60.75,-6,15,66.75,6,,45
1895,61.25,68.50B,55.00A,57.75B,57.5,-6,16,63.5,6,,103
1900,----,65.00B,52.00A,54.75B,54.5,-5.75,1,60.25,1,,256
1905,----,61.75B,49.00A,51.50B,51.5,-5.75,1,57.25,1,,85
1910,52.25,58.75B,46.00A,48.75B,48.5,-5.75,305,54.25,1,,210
1915,----,55.50B,43.25A,45.75B,45.5,-5.75,1,51.25,,,359
1920,----,52.50B,40.50A,43.00B,42.5,-5.75,1,48.25,1,,154
1925,----,49.50B,38.00A,40.25B,39.75,-5.75,,45.5,1,,170
1930,45.75,46.50B,35.25A,37.50B,37.25,-5.5,100,42.75,1,,26
1935,43.25,43.75B,32.75A,35.00B,34.5,-5.5,3,40,,,49
1940,35.25,41.00B,30.50A,32.50B,32,-5.5,52,37.5,206,,226
1945,34,38.25B,28.00A,30.00B,29.75,-5.25,190,35,,,6
1950,27.25,35.75B,26,27.75B,27.5,-5,116,32.5,34,,440
1955,----,33.25B,23.75A,25.50B,25.25,-4.75,,30,,,168
1960,----,30.75B,21.75A,23.50B,23.25,-4.5,,27.75,,,516
1965,20,28.50B,20,21.50B,21.25,-4.25,2,25.5,,,7
1970,24.25,26.25B,18.00A,19.50B,19.25,-4.25,12,23.5,23,,71
1975,24,24.25B,16.50A,17.75B,17.5,-4,2,21.5,4,,293
1980,----,22.00B,14.75A,16.00B,16,-3.75,,19.75,,,84
1985,----,20.25B,13.25A,14.50B,14.25,-3.75,1,18,3,,258
1990,----,18.25B,12.00A,13.00B,12.75,-3.5,,16.25,2,,198
1995,12,16.50B,10.50A,11.50B,11.5,-3,100,14.5,1,,563
2000,10.25,15.00B,9.25,10.25B,10,-3,503,13,44,,1765
2005,8.75,13.50B,8.25A,9.00B,9,-2.75,9,11.75,12,,49
2010,8,12.00B,7.25,8.00B,8,-2.5,2,10.5,15,,38
2015,9.25,10.75B,6.25A,7.00B,7,-2.25,16,9.25,8,,30
2020,----,9.50B,5.50A,6.00B,6,-2.25,1,8.25,9,,28
2025,7.5,8.25B,4.65A,5.25B,5.25,-2,84,7.25,38,,541
2030,4.55,7.25B,4.00A,4.50B,4.45,-1.8,146,6.25,33,,123
2035,5.25,6.25B,3.40A,3.85B,3.8,-1.7,2,5.5,,,55
2040,----,5.50B,2.90A,3.25B,3.2,-1.55,1,4.75,5,,860
2045,----,4.70B,2.45A,2.75B,2.7,-1.4,,4.1,548,,620
2050,2.5,4.05B,2.05A,2.30B,2.3,-1.25,65,3.55,425,,718
2055,----,3.40B,1.75A,1.90B,1.9,-1.15,1,3.05,149,,482
2060,----,2.90B,1.45A,1.60B,1.6,-1,,2.6,,,454
2065,2.05,2.40B,1.20A,1.30B,1.35,-0.85,67,2.2,10,,440
2070,----,2.00B,1.00A,1.05A,1.1,-0.75,2,1.85,68,,503
2075,----,1.65B,.85A,.85A,0.95,-0.6,,1.55,16,,124
2080,----,1.35B,.70A,.75B,0.8,-0.5,4,1.3,63,,548
2085,----,----,.60A,.60A,0.65,-0.45,,1.1,129,,160
2090,----,----,.50A,.50A,0.55,-0.35,,0.9,41,,64
2095,----,----,.45A,.45A,0.5,-0.25,,0.75,,,51
2100,0.45,0.45,.35A,.40A,0.4,-0.2,1,0.6,27,,695
2105,----,----,.30A,.30A,0.35,-0.15,,0.5,,,250
2110,----,----,.30A,.30A,0.3,-0.15,,0.45,,,313
2115,----,----,.25A,.25A,0.3,-0.05,,0.35,,,485
2120,----,----,.25A,.25A,0.25,-0.05,,0.3,,,56
2125,----,----,.20A,.20A,0.2,-0.1,,0.3,,,83
2130,----,----,.20A,.20A,0.2,-0.05,,0.25,,,55
2135,----,----,.20A,.20A,0.2,-0.05,,0.25,,,23
2140,----,----,.20A,.20A,0.15,-0.1,,0.25,1,,86
2145,----,----,.15A,.15A,0.15,-0.05,,0.2,,,5
2150,----,----,.15A,.15A,0.15,-0.05,,0.2,,,77
2155,----,----,.15A,.15A,0.1,-0.1,,0.2,,,
2160,----,----,.15A,.15A,0.1,-0.1,,0.2,,,221
2165,----,----,----,----,0.05,-0.1,,0.15,,,
2170,----,----,----,----,0.05,-0.1,,0.15,,,213
2175,----,----,----,----,0.05,-0.05,,0.1,,,187
2180,----,----,----,----,CAB,-0.1,,0.1,,,452
2185,----,----,----,----,CAB,-0.1,,0.1,,,250
2190,----,----,----,----,CAB,-0.05,,0.05,,,317
2195,----,----,----,----,CAB,-0.05,,0.05,,,
2200,----,----,----,----,CAB,UNCH,,CAB,,,4900
2205,----,----,----,----,CAB,UNCH,,CAB,,,
2210,----,----,----,----,CAB,UNCH,,CAB,,,238
2215,----,----,----,----,CAB,UNCH,,CAB,,,
2220,----,----,----,----,CAB,UNCH,,CAB,,,47
2225,----,----,----,----,CAB,UNCH,,CAB,,,48
2230,----,----,----,----,CAB,UNCH,,CAB,,,660
2235,----,----,----,----,CAB,UNCH,,CAB,,,44
2240,----,----,----,----,CAB,UNCH,,CAB,,,100
2245,----,----,----,----,CAB,UNCH,,CAB,,,
2250,----,----,----,----,CAB,UNCH,,CAB,,,623
2255,----,----,----,----,CAB,UNCH,,CAB,,,
2260,----,----,----,----,CAB,UNCH,,CAB,,,100
2265,----,----,----,----,CAB,UNCH,,CAB,,,
2270,----,----,----,----,CAB,UNCH,,CAB,,,
2275,----,----,----,----,CAB,UNCH,,CAB,,,2
2280,----,----,----,----,CAB,UNCH,,CAB,,,
2285,----,----,----,----,CAB,UNCH,,CAB,,,
2290,----,----,----,----,CAB,UNCH,,CAB,,,
2295,----,----,----,----,CAB,UNCH,,CAB,,,
2300,----,----,----,----,CAB,UNCH,,CAB,,,
2305,----,----,----,----,CAB,UNCH,,CAB,,,
2310,----,----,----,----,CAB,UNCH,,CAB,,,
2315,----,----,----,----,CAB,UNCH,,CAB,,,
2320,----,----,----,----,CAB,UNCH,,CAB,,,
2325,----,----,----,----,CAB,UNCH,,CAB,,,250
2330,----,----,----,----,CAB,UNCH,,CAB,,,
2335,----,----,----,----,CAB,UNCH,,CAB,,,
2340,----,----,----,----,CAB,UNCH,,CAB,,,
2345,----,----,----,----,CAB,UNCH,,CAB,,,
2350,----,----,----,----,CAB,UNCH,,CAB,,,
2355,----,----,----,----,CAB,UNCH,,CAB,,,
2360,----,----,----,----,CAB,UNCH,,CAB,,,
2365,----,----,----,----,CAB,UNCH,,CAB,,,
2370,----,----,----,----,CAB,UNCH,,CAB,,,
2375,----,----,----,----,CAB,UNCH,,CAB,,,
2380,----,----,----,----,CAB,UNCH,,CAB,,,32
2385,----,----,----,----,CAB,UNCH,,----,,,
2390,----,----,----,----,CAB,UNCH,,CAB,,,
2395,----,----,----,----,CAB,UNCH,,----,,,
2400,----,----,----,----,CAB,UNCH,,CAB,,,20
2405,----,----,----,----,CAB,UNCH,,----,,,
2410,----,----,----,----,CAB,UNCH,,CAB,,,
2415,----,----,----,----,CAB,UNCH,,----,,,
2420,----,----,----,----,CAB,UNCH,,CAB,,,
2425,----,----,----,----,CAB,UNCH,,CAB,,,
2430,----,----,----,----,CAB,UNCH,,CAB,,,
2440,----,----,----,----,CAB,UNCH,,CAB,,,
2450,----,----,----,----,CAB,UNCH,,CAB,,,
2460,----,----,----,----,CAB,UNCH,,CAB,,,
2470,----,----,----,----,CAB,UNCH,,CAB,,,
2475,----,----,----,----,CAB,UNCH,,CAB,,,
2480,----,----,----,----,CAB,UNCH,,CAB,,,
2490,----,----,----,----,CAB,UNCH,,CAB,,,
2500,----,----,----,----,CAB,UNCH,,CAB,,,
2510,----,----,----,----,CAB,UNCH,,CAB,,,
2520,----,----,----,----,CAB,UNCH,,CAB,,,
2525,----,----,----,----,CAB,UNCH,,CAB,,,
2550,----,----,----,----,CAB,UNCH,,CAB,,,
2575,----,----,----,----,CAB,UNCH,,CAB,,,
2600,----,----,----,----,CAB,UNCH,,CAB,,,
2625,----,----,----,----,CAB,UNCH,,CAB,,,
2650,----,----,----,----,CAB,UNCH,,CAB,,,
2675,----,----,----,----,CAB,UNCH,,CAB,,,
2700,----,----,----,----,CAB,UNCH,,CAB,,,
2725,----,----,----,----,CAB,UNCH,,CAB,,,
2750,----,----,----,----,CAB,UNCH,,CAB,,,
2775,----,----,----,----,CAB,UNCH,,CAB,,,
2800,----,----,----,----,CAB,UNCH,,CAB,,,
2825,----,----,----,----,CAB,UNCH,,CAB,,,
2850,----,----,----,----,CAB,UNCH,,CAB,,,
2875,----,----,----,----,CAB,UNCH,,CAB,,,
2900,----,----,----,----,CAB,UNCH,,CAB,,,
2925,----,----,----,----,CAB,UNCH,,CAB,,,
2950,----,----,----,----,CAB,UNCH,,CAB,,,
2975,----,----,----,----,CAB,UNCH,,CAB,,,
3000,----,----,----,----,CAB,UNCH,,CAB,,,
3025,----,----,----,----,CAB,UNCH,,CAB,,,
3050,----,----,----,----,CAB,UNCH,,CAB,,,
3075,----,----,----,----,CAB,UNCH,,CAB,,,
3100,----,----,----,----,CAB,UNCH,,CAB,,,
3125,----,----,----,----,CAB,UNCH,,CAB,,,
3150,----,----,----,----,CAB,UNCH,,CAB,,,
800,----,----,----,----,1107,-6,,1113,,,
825,----,----,----,----,1082,-6,,1088,,,
850,----,----,----,----,1057,-6,,1063,,,
875,----,----,----,----,1032,-6,,1038,,,
900,----,----,----,----,1007,-6,,1013,,,
925,----,----,----,----,982,-6.25,,988.25,,,
950,----,----,----,----,957,-6.25,,963.25,,,
975,----,----,----,----,932,-6.25,,938.25,,,
EW APR1,6 End of,Month (EOM,) Emini S&P,Options,CALL,,,,,,
1000,----,----,----,----,907,-6,,913,,,
1025,----,----,----,----,882,-6.25,,888.25,,,
1050,----,----,----,----,857,-6.25,,863.25,,,
1075,----,----,----,----,832,-6.5,,838.5,,,
1100,----,----,----,----,807.25,-6.25,,813.5,,,
1125,----,----,----,----,782.25,-6.25,,788.5,,,
1150,----,----,----,----,757.5,-6.25,,763.75,,,
1175,----,----,----,----,732.5,-6.25,,738.75,,,
1200,----,----,----,----,707.75,-6.25,,714,,,
1225,----,----,----,----,683,-6,,689,,,
1250,----,----,----,----,658,-6.25,,664.25,,,
